station,94001,94003,94005,94007,94111,94107,94009,94011,94123,94109,94013,94015,94017
CHURCHGATE,,,05:40,,06:14,,06:35,,06:55,,07:29,07:36,07:54
Marine Lines,,,05:43,,06:17,,06:39,,06:58,,07:32,07:39,07:57
Charni Road,,,05:45,,06:19,,06:41,,07:00,,07:34,07:41,07:59
Grant Road,,,05:48,,06:22,,06:44,,07:03,,07:37,07:44,08:02
M'BAI CENTRAL (L),,,05:50,,06:24,,06:46,,07:05,,07:39,07:46,08:04
Mahalakshmi,,05:35,05:53,,06:27,06:39,06:49,06:57,07:08,,,,
Lower Parel,,05:59,05:56,,06:30,06:42,06:52,07:00,07:11,,,,
Prabhadevi,,05:42,05:59,,06:33,06:45,06:55,07:03,07:14,,,,
DADAR,,05:45,06:01,,06:35,06:47,06:57,07:05,07:16,,07:46,07:53,08:11
Matunga Road,,05:47,06:03,,06:37,06:49,06:59,07:07,07:18,,,,
Mahim Jn.,,05:50,06:06,,06:40,06:52,07:02,07:10,07:21,,,,
BANDRA,,05:54,06:11,,06:44,06:56,07:06,07:13,07:25,,07:52,07:59,08:16
Khar Road,,05:57,06:14,,06:47,06:59,07:09,07:16,07:28,,,,
Santa Cruz,,05:59,06:16,,06:49,07:01,07:12,07:19,07:30,,,,
Vile Parle,,06:02,06:19,,06:52,07:04,07:15,07:22,07:33,,,,
ANDHERI,,06:08,06:24,,06:57,07:10,07:20,07:27,07:39,,08:00,08:07,08:24
Jogeshwari,,06:12,06:27,,07:00,07:14,07:23,07:30,07:42,,,,
Ram Mandir,,06:15,06:30,,07:03,07:17,07:26,07:33,07:45,,,,
Goregaon,,06:17,06:32,,07:05,07:19,07:28,07:35,07:47,,,,
Malad,,06:21,06:36,,07:09,07:23,07:32,07:39,07:51,,,,
Kandivli,,06:24,06:39,,07:12,07:26,07:35,07:42,07:54,,,,
BORIVALI,05:07,06:30,06:45,,07:19,07:34,07:41,07:47,08:00,07:37,08:16,08:21,08:40
Dahisar,05:11,,,,,,,07:51,,,,08:25,08:44
Mira Road,05:16,,,,,,,07:56,,,,08:30,08:49
Bhayandar,05:21,,,07:27,,,,08:01,,07:52,,08:35,08:53
Naigaon,05:27,,,,,,,08:06,,,,08:41,08:59
Vasai Road,05:32,,,,,,,08:11,,,,08:46,09:04
Nallasopara,05:37,,,,,,,08:16,,,,08:51,09:09
VIRAR,05:45,,,07:52,,,,08:23,,,,08:58,09:15
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
DN AC TRAINS,,,,,,,,,,,,,
CHURCHGATE,,,05:40,,06:14,,06:35,,06:55,,07:29,07:36,07:54
Marine Lines,,,05:43,,06:17,,06:39,,06:58,,07:32,07:39,07:57
Charni Road,,,05:45,,06:19,,06:41,,07:00,,07:34,07:41,07:59
Grant Road,,,05:48,,06:22,,06:44,,07:03,,07:37,07:44,08:02
M'BAI CENTRAL (L),,,05:50,,06:24,,06:46,,07:05,,07:39,07:46,08:04
Mahalakshmi,,05:35,05:53,,06:27,06:39,06:49,06:57,07:08,,,,
Lower Parel,,05:59,05:56,,06:30,06:42,06:52,07:00,07:11,,,,
Prabhadevi,,05:42,05:59,,06:33,06:45,06:55,07:03,07:14,,,,
DADAR,,05:45,06:01,,06:35,06:47,06:57,07:05,07:16,,07:46,07:53,08:11
Matunga Road,,05:47,06:03,,06:37,06:49,06:59,07:07,07:18,,,,
Mahim Jn.,,05:50,06:06,,06:40,06:52,07:02,07:10,07:21,,,,
BANDRA,,05:54,06:11,,06:44,06:56,07:06,07:13,07:25,,07:52,07:59,08:16
Khar Road,,05:57,06:14,,06:47,06:59,07:09,07:16,07:28,,,,
Santa Cruz,,05:59,06:16,,06:49,07:01,07:12,07:19,07:30,,,,
Vile Parle,,06:02,06:19,,06:52,07:04,07:15,07:22,07:33,,,,
ANDHERI,,06:08,06:24,,06:57,07:10,07:20,07:27,07:39,,08:00,08:07,08:24
Jogeshwari,,06:12,06:27,,07:00,07:14,07:23,07:30,07:42,,,,
Ram Mandir,,06:15,06:30,,07:03,07:17,07:26,07:33,07:45,,,,
Goregaon,,06:17,06:32,,07:05,07:19,07:28,07:35,07:47,,,,
Malad,,06:21,06:36,,07:09,07:23,07:32,07:39,07:51,,,,
Kandivli,,06:24,06:39,,07:12,07:26,07:35,07:42,07:54,,,,
BORIVALI,05:07,06:30,06:45,,07:19,07:34,07:41,07:47,08:00,07:37,08:16,08:21,08:40
Dahisar,05:11,,,,,,,07:51,,,,08:25,08:44
Mira Road,05:16,,,,,,,07:56,,,,08:30,08:49
Bhayandar,05:21,,,07:27,,,,08:01,,07:52,,08:35,08:53
Naigaon,05:27,,,,,,,08:06,,,,08:41,08:59
Vasai Road,05:32,,,,,,,08:11,,,,08:46,09:04
Nallasopara,05:37,,,,,,,08:16,,,,08:51,09:09
VIRAR,05:45,,,07:52,,,,08:23,,,,08:58,09:15
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
DN AC TRAINS,,,,,,,,,,,,,
CHURCHGATE,"08:27
08:46
08:53
09:14
09:23
09:27
09:30",10:24,"10:32
10:36
10:53
11:12
11:15",,,,,,,,,,
Marine Lines,"08:30
09:17
09:26",10:27,"11:15
11:18",,,,,,,,,,
Charni Road,"08:32
09:19
09:28",10:29,"11:17
11:20",,,,,,,,,,
Grant Road,"08:35
09:22
09:31",10:32,"11:20
11:23",,,,,,,,,,
M'BAI CENTRAL (L),"08:37
08:54
09:02
09:24
09:33
09:35
09:38",10:34,"10:42
10:46
11:03
11:22
11:25",,,,,,,,,,
Mahalakshmi,,10:37,,,,,,,,,,,
Lower Parel,"09:30
Condition
Condition
Condition
Condition",10:40,,,,,,,,,,,
Prabhadevi,09:33,10:43,,,,,,,,,,,
DADAR,"08:44
09:01
09:09
09:35
09:40
09:43
09:46",10:45,"10:49
10:53
11:10
11:32",,,,,,,,,,
Matunga Road,09:37,10:47,,,,,,,,,,,
Mahim Jn.,09:40,10:50,,,,,,,,,,,
BANDRA,"08:49
09:06
09:14
09:44
09:45
09:48
09:51",10:54,"10:54
10:58
11:16
11:38",,,,,,,,,,
Khar Road,09:47,10:57,,,,,,,,,,,
Santa Cruz,"09:50
 
 
 
Air",11:00,,,,,,,,,,,
Vile Parle,"09:53
 
 
 
Condition",11:03,,,,,,,,,,,
ANDHERI,"08:58
09:15
09:22
09:57
09:54
09:57
10:00",11:09,"11:03
11:07
11:26
11:47",,,,,,,,,,
Jogeshwari,10:01,11:12,,,,,,,,,,,
Ram Mandir,10:04,11:15,,,,,,,,,,,
Goregaon,,11:17,,,,,,,,,,,
Malad,,11:21,,,,,,,,,,,
Kandivli,,11:24,,,,,,,,,,,
BORIVALI,"09:13
09:30
09:36
10:07
10:11
10:15",11:31,"11:18
11:21
11:39
12:01",,,,,,,,,,
Dahisar,"09:18
09:40
10:11",,"11:26
11:42
12:05",,,,,,,,,,
Mira Road,"09:23
09:45
10:16",,"11:31
11:46
12:10",,,,,,,,,,
Bhayandar,"09:28
09:50
10:21
10:29",,"11:38
11:51
12:15",,,,,,,,,,
Naigaon,"09:34
09:56
10:26",,"11:57
12:21",,,,,,,,,,
Vasai Road,"09:40
10:01
10:31
10:40",,"12:02
12:26",,,,,,,,,,
Nallasopara,"09:45
10:06
10:36
Air",,"12:07
12:31
Air",,,,,,,,,,
VIRAR,,,,,,,,,,,,,
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
DN AC TRAINS,,,,,,,,,,,,,
CHURCHGATE,11:30,11:48,12:16,12:29,12:34,12:45,13:08,13:52,13:53,14:15,14:53,,15:05
Marine Lines,11:33,11:51,12:19,12:32,12:37,12:48,13:11,13:55,13:56,14:18,14:56,,15:08
Charni Road,11:35,11:53,12:21,12:34,12:39,12:50,13:13,13:57,13:59,14:20,14:58,,15:10
Grant Road,11:38,11:56,12:24,12:37,12:42,12:53,13:16,14:00,14:01,14:23,15:01,,15:13
M'BAI CENTRAL (L),11:40,11:58,12:26,12:39,12:44,12:55,13:18,14:02,14:04,14:25,15:03,,15:15
Mahalakshmi,,,,,,12:58,13:21,14:05,,,,,15:18
Lower Parel,,,,,,13:01,13:24,14:08,,,,,15:21
Prabhadevi,,,,,,13:04,13:27,14:11,,,,,15:24
DADAR,11:47,12:05,12:33,12:46,12:51,13:06,13:29,14:13,14:12,14:32,15:10,,15:27
Matunga Road,,,,,,13:08,13:31,14:15,,,,,15:30
Mahim Jn.,,,,,,13:11,13:34,14:18,,,,,15:33
BANDRA,11:53,12:10,12:38,12:52,12:57,13:15,13:38,14:22,14:18,14:38,15:16,,15:38
Khar Road,,,,,,13:18,13:41,14:25,,,,,15:41
Santa Cruz,,,,,,13:21,13:44,14:28,,,,,15:43
Vile Parle,,,,,,13:24,13:47,14:31,,,,,15:46
ANDHERI,12:03,12:18,12:46,13:03,13:07,13:29,13:52,14:36,14:28,14:46,15:24,,15:51
Jogeshwari,,,,,,13:32,13:55,14:39,,,,,15:55
Ram Mandir,,,,,,13:35,13:58,14:42,,,,,15:58
Goregaon,,,,,,13:37,14:00,14:44,,,,,16:00
Malad,,,,,,13:41,14:04,14:48,,,,,16:04
Kandivli,,,,,,13:44,14:07,14:51,,,,,16:07
BORIVALI,12:16,12:28,13:01,13:18,13:21,13:50,14:13,14:56,14:41,14:59,15:38,15:44,16:13
Dahisar,12:20,12:33,,,13:27,,14:18,15:01,,15:05,15:42,15:50,
Mira Road,12:25,12:38,,,13:32,,14:23,15:07,,15:10,15:46,15:55,
Bhayandar,12:31,12:43,13:09,13:27,13:37,,14:28,15:12,14:50,15:17,15:51,16:00,
Naigaon,,12:49,,,13:43,,14:34,15:18,,,15:57,16:06,
Vasai Road,,12:53,13:17,13:36,13:48,,14:40,15:23,14:58,,16:01,16:11,
Nallasopara,,12:59,,,13:53,,14:45,15:29,,,16:06,16:16,
VIRAR,,13:08,13:27,13:46,13:59,,14:52,15:36,15:08,,16:15,16:25,
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
DN AC TRAINS,,,,,,,,,,,,,
CHURCHGATE,15:07,15:26,15:32,,16:39,,17:03,17:15,17:50,17:57,18:06,18:22,18:28
Marine Lines,15:10,15:29,15:35,,16:42,,17:06,17:18,17:53,18:00,18:09,18:25,18:31
Charni Road,15:12,15:31,15:37,,16:44,,17:08,17:20,17:55,18:02,18:11,18:27,18:33
Grant Road,15:15,15:34,15:40,,16:47,,17:11,17:23,17:58,18:05,18:14,18:30,18:36
M'BAI CENTRAL (L),15:17,15:36,15:42,,16:49,,17:15,17:25,18:00,18:07,18:16,18:32,18:38
Mahalakshmi,,,,16:30,,,,,,18:10,,,
Lower Parel,,,,16:33,,,,,,18:13,,,
Prabhadevi,,,,16:36,,,,,,18:16,,,
DADAR,15:24,15:44,15:50,16:38,16:56,,17:23,17:33,18:08,18:18,18:26,18:39,18:45
Matunga Road,,,,16:40,,,,,,18:20,,,
Mahim Jn.,,,,16:43,,,,,,18:23,,,
BANDRA,15:30,15:49,15:55,16:47,17:01,,17:30,17:40,18:13,18:27,18:32,18:45,18:51
Khar Road,,,,16:50,,,,,,18:30,,,
Santa Cruz,,,,16:53,,,,,,18:33,,,
Vile Parle,,,,16:56,,,,,,18:36,,,
ANDHERI,15:39,15:57,16:03,17:01,17:10,17:25,17:38,17:48,18:23,18:41,18:42,18:54,19:00
Jogeshwari,,,,17:04,,,,,,18:45,,,
Ram Mandir,,,,17:07,,,,,,18:48,,,
Goregaon,,,,17:09,,,,,,18:51,,,
Malad,,,,17:13,,,,,,,,,
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
DN AC TRAINS,,,,,,,,,,,,,
CHURCHGATE,18:38,19:00,,,19:43,19:58,20:07,20:27,,,21:23,21:51,21:57
Marine Lines,18:41,19:03,,,19:46,20:01,20:10,20:30,,,21:26,21:54,22:00
Charni Road,18:43,19:05,,,19:48,20:03,20:12,20:32,,,21:28,21:56,22:02
Grant Road,18:46,19:08,,,19:51,20:06,20:15,20:35,,,21:31,21:59,22:05
M'BAI CENTRAL (L),18:48,19:10,,,19:53,20:08,20:17,20:37,,,21:33,22:01,22:07
Mahalakshmi,18:51,,,,,,20:20,,,,21:36,,
Lower Parel,18:54,,,,,,20:23,,,,21:39,,
Prabhadevi,18:57,,,,,,20:26,,,,21:42,,
DADAR,18:59,19:18,19:38,,20:01,20:15,20:28,20:44,,21:19,21:44,22:08,22:14
Matunga Road,19:01,,,,,,20:30,,,,21:46,,
Mahim Jn.,19:04,,,,,,20:33,,,,21:49,,
BANDRA,19:08,19:23,19:45,19:52,20:06,20:21,20:37,20:49,,21:26,21:53,22:14,22:20
Khar Road,19:12,,,19:56,,,20:40,,,,21:56,,
Santa Cruz,19:16,,,19:59,,,20:42,,,,21:58,,
Vile Parle,19:20,,,20:02,,,20:45,,,,22:01,,
ANDHERI,19:25,19:31,19:54,20:07,20:15,20:31,20:51,20:58,21:08,21:35,22:07,22:22,22:29
Jogeshwari,19:29,,,20:10,,,20:55,,21:12,,22:10,22:25,
Ram Mandir,19:32,,,20:13,,,20:58,,21:15,,22:13,,
Goregaon,19:34,,,20:15,,,21:02,,21:17,,22:15,22:29,
Malad,19:38,,,20:20,,,,,21:21,,22:19,22:34,
Kandivli,19:41,,,20:23,,,,,21:24,,22:22,,
BORIVALI,19:47,19:43,20:12,20:28,20:32,20:45,,21:14,21:30,21:52,22:28,,22:45
Dahisar,19:51,19:48,20:16,20:33,20:36,20:49,,21:19,21:35,21:58,22:32,,22:50
Mira Road,19:56,19:53,20:21,20:38,20:41,20:54,,21:24,21:40,22:03,22:37,,22:55
Bhayandar,20:03,19:58,20:27,20:43,20:46,20:59,,21:29,21:45,22:08,22:43,,23:00
Naigaon,,20:04,,,20:52,21:05,,21:34,21:51,22:14,,,23:06
Vasai Road,,20:09,,,20:57,21:10,,21:39,21:58,22:20,,,23:11
Nallasopara,,20:14,,,21:02,21:15,,21:45,,22:25,,,23:16
VIRAR,,20:22,,,21:09,21:21,,,,22:32,,,23:22
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
DN AC TRAINS,,,,,,,,,,,,,
CHURCHGATE,,,,,,,,,,,,,
Marine Lines,,,,,,,,,,,,,
Charni Road,,,,,,,,,,,,,
Grant Road,,,,,,,,,,,,,
M'BAI CENTRAL (L),,,,,,,,,,,,,
Mahalakshmi,,,,,,,,,,,,,
Lower Parel,,,,,,,,,,,,,
Prabhadevi,,,,,,,,,,,,,
DADAR,,,,,,,,,,,,,
Matunga Road,,,,,,,,,,,,,
Mahim Jn.,,,,,,,,,,,,,
BANDRA,,,,,,,,,,,,,
Khar Road,,,,,,,,,,,,,
Santa Cruz,,,,,,,,,,,,,
Vile Parle,,,,,,,,,,,,,
ANDHERI,,23:55,,,,,,,,,,,
Jogeshwari,,,,,,,,,,,,,
Ram Mandir,,,,,,,,,,,,,
Goregaon,,,,,,,,,,,,,
Malad,,,,,,,,,,,,,
Kandivli,,,,,,,,,,,,,
BORIVALI,23:19,00:10,,,,,,,,,,,
Dahisar,23:24,00:13,,,,,,,,,,,
Mira Road,23:29,00:18,,,,,,,,,,,
Bhayandar,23:34,00:25,,,,,,,,,,,
Naigaon,23:40,,,,,,,,,,,,
Vasai Road,23:45,,,,,,,,,,,,
Nallasopara,23:50,,,,,,,,,,,,
VIRAR,23:56,,,,,,,,,,,,
